L1_WSS,L2_WSS,L3_WSS,MEM_WSS,GFLOPS,PROXY_ACCESS_TIME,GFLOPS_RANKING,PROXY_ACCESS_RANKING
16388.0, 0.0, 1716480.0, 67239936.0, 0.75663, 5751208976.0, 982.0, 219.0, 
2244.0, 0.0, 558080.0, 68157440.0, 2.031253, 5758718736.0, 294.0, 220.0, 
3444.0, 0.0, 558080.0, 68157440.0, 1.804866, 5758723536.0, 304.0, 221.0, 
5844.0, 0.0, 558080.0, 68157440.0, 3.1692080000000002, 5758733136.0, 266.0, 222.0, 
10644.0, 0.0, 558080.0, 68157440.0, 3.1100659999999998, 5758752336.0, 272.0, 223.0, 
20244.0, 0.0, 558080.0, 68157440.0, 1.655215, 5758790736.0, 362.0, 224.0, 
3604.0, 35840.0, 558080.0, 68157440.0, 1.118562, 5759225936.0, 509.0, 225.0, 
7188.0, 70656.0, 558080.0, 68157440.0, 1.117583, 5759727696.0, 511.0, 226.0, 
14356.0, 140288.0, 558080.0, 68157440.0, 1.123405, 5760731216.0, 499.0, 227.0, 
3412.0, 0.0, 591872.0, 68157440.0, 3.5533550000000003, 5760750928.0, 262.0, 228.0, 
4740.0, 0.0, 591872.0, 68157440.0, 2.203147, 5760756240.0, 288.0, 229.0, 
7396.0, 0.0, 591872.0, 68157440.0, 1.178359, 5760766864.0, 406.0, 230.0, 
12708.0, 0.0, 591872.0, 68157440.0, 1.071294, 5760788112.0, 542.0, 231.0, 
23332.0, 0.0, 591872.0, 68157440.0, 0.946528, 5760830608.0, 626.0, 232.0, 
16388.0, 0.0, 1327232.0, 67633152.0, 1.0035020000000001, 5760884240.0, 606.0, 233.0, 
21556.0, 0.0, 1327104.0, 67633152.0, 17.876681, 5760897232.0, 13.0, 234.0, 
26212.0, 0.0, 1327104.0, 67633152.0, 5.976471, 5760915856.0, 220.0, 235.0, 
8900.0, 26624.0, 1327104.0, 67633152.0, 12.125705, 5761219344.0, 77.0, 236.0, 
5668.0, 38912.0, 591872.0, 68157440.0, 0.906755, 5761304720.0, 691.0, 237.0, 
17284.0, 36864.0, 1327104.0, 67633152.0, 8.35247, 5761396240.0, 108.0, 238.0, 
11300.0, 75776.0, 591872.0, 68157440.0, 0.901445, 5761843344.0, 771.0, 239.0, 
516.0, 90880.0, 1327104.0, 67633152.0, 1.7223560000000002, 5762085392.0, 331.0, 240.0, 
22564.0, 149504.0, 591872.0, 68157440.0, 0.898048, 5762920592.0, 815.0, 241.0, 
1028.0, 164864.0, 1327104.0, 67633152.0, 1.144534, 5763123216.0, 443.0, 242.0, 
4100.0, 0.0, 1755648.0, 67371008.0, 0.895091, 5764519952.0, 842.0, 243.0, 
5748.0, 0.0, 659456.0, 68157440.0, 10.244798, 5764815312.0, 96.0, 244.0, 
7332.0, 0.0, 659456.0, 68157440.0, 5.349673999999999, 5764821648.0, 243.0, 245.0, 
10500.0, 0.0, 659456.0, 68157440.0, 14.116722, 5764834320.0, 43.0, 246.0, 
16836.0, 0.0, 659456.0, 68157440.0, 15.743178, 5764859664.0, 33.0, 247.0, 
29508.0, 0.0, 659456.0, 68157440.0, 1.705891, 5764910352.0, 343.0, 248.0, 
9796.0, 45056.0, 659456.0, 68157440.0, 1.140215, 5765462288.0, 472.0, 249.0, 
19524.0, 86016.0, 659456.0, 68157440.0, 0.903164, 5766074640.0, 738.0, 250.0, 
4100.0, 202816.0, 659456.0, 68157440.0, 0.899382, 5767648144.0, 803.0, 251.0, 
8196.0, 0.0, 1462528.0, 67633152.0, 1.142192, 5768969232.0, 459.0, 252.0, 
16388.0, 0.0, 1851648.0, 67371008.0, 1.033204, 5770329104.0, 579.0, 253.0, 
13428.0, 0.0, 2134016.0, 67174400.0, 7.01907, 5770744272.0, 166.0, 254.0, 
21732.0, 0.0, 2134016.0, 67174400.0, 6.065899, 5770777488.0, 212.0, 255.0, 
17604.0, 20736.0, 2134016.0, 67174400.0, 1.321249, 5771051280.0, 379.0, 256.0, 
260.0, 71296.0, 2134016.0, 67174400.0, 1.0387549999999999, 5771689744.0, 572.0, 257.0, 
8196.0, 0.0, 2155008.0, 67174400.0, 0.8746139999999999, 5771982864.0, 931.0, 258.0, 
516.0, 137472.0, 2134016.0, 67174400.0, 0.913816, 5772617232.0, 658.0, 259.0, 
10420.0, 0.0, 794624.0, 68157440.0, 14.697065, 5772944080.0, 40.0, 260.0, 
12516.0, 0.0, 794624.0, 68157440.0, 5.797975, 5772952464.0, 228.0, 261.0, 
16708.0, 0.0, 794624.0, 68157440.0, 18.57289, 5772969232.0, 8.0, 262.0, 
